Title: Health Insurance Coverage of the Total Population | KFF,,,,,,,
Timeframe: 2017,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total
United States,156199800,20525500,65152400,42802800,4588200,27753700,317022500
Alabama,2179900,292200,977900,745800,93100,452600,4741400
Alaska,320700,22900,156400,63100,48200,98700,710100
Arizona,3075100,396400,1526400,1046800,110100,686400,6841300
Arkansas,1208600,183200,784600,450700,49700,233100,2910000
California,18253400,2876500,10238500,4181900,363900,2799600,38713900
Colorado,2771900,409600,1073700,664600,131500,409800,5461100
Connecticut,1871900,206500,706200,474000,23600,196500,3478700
Delaware,494500,48500,166900,155600,14300,52000,931700
District of Columbia,349700,40500,184500,51100,7900,23900,657600
Florida,8155800,1985000,3819300,3536400,382300,2653500,20532300
Georgia,4922000,657700,1759600,1194700,233200,1354200,10121400
Hawaii,734100,65300,237700,199400,68300,51300,1356100
Idaho,782500,160300,293600,235300,29900,180500,1682100
Illinois,6675200,751400,2500200,1636700,76700,856400,12496600
Indiana,3419700,349500,1170500,918000,57800,543900,6459400
Iowa,1684000,203900,548500,450500,25600,133200,3045600
Kansas,1539300,195500,380700,391800,70400,240000,2817600
Kentucky,1999600,195500,1167800,648200,61000,234900,4307100
Louisiana,1974300,262300,1283700,576300,68000,377000,4541500
Maine,639100,84100,235800,216800,22400,101800,1300200
Maryland,3310300,329400,1049900,732800,108100,362400,5892900
Massachusetts,3655700,357000,1564500,826900,34200,182400,6620600
Michigan,4994900,524800,2181600,1464900,55400,498700,9720300
Minnesota,3132200,315200,943900,771900,40100,243300,5446600
Mississippi,1211100,172900,705000,386700,60300,348500,2884500
Missouri,3052200,414500,880900,948600,88600,536500,5921300
Montana,445800,95800,197700,167900,22300,93100,1022600
Nebraska,1033200,147100,231600,249100,37800,160500,1859200
Nevada,1451300,157100,558300,400700,53200,325900,2946600
New Hampshire,743200,72100,179300,217300,11700,73400,1297000
New Jersey,4939800,500100,1511300,1152700,47100,672900,8823900
New Mexico,738800,98400,684400,287900,42500,186100,2038200
New York,9536300,1139400,5082100,2362000,87400,1108600,19315700
North Carolina,4611100,713400,1830400,1452500,272800,1068600,9948800
North Dakota,421100,66000,77800,94900,11700,54500,726000
Ohio,5897600,547000,2386700,1729700,101200,661300,11323500
Oklahoma,1723800,223100,684100,560700,80100,531900,3803700
Oregon,1912500,290400,929700,616800,38900,274800,4063000
Pennsylvania,6467000,732600,2444400,1987200,72600,685400,12389100
Rhode Island,520500,60900,239300,141200,8500,45600,1015900
South Carolina,2205500,297200,922300,785300,112800,541600,4864600
South Dakota,437400,73700,114600,120400,13600,77300,837000
Tennessee,3112200,390000,1342800,952600,125300,615300,6538200
Texas,13126800,1671800,4701400,2840400,475000,4805800,27621300
Utah,1831800,273900,340200,291400,35100,275000,3047400
Vermont,278000,29300,168700,95000,4100,25100,600200
Virginia,4369800,562900,968500,1129100,390800,719500,8140700
Washington,3748100,441100,1505500,960500,144600,440000,7239800
West Virginia,755100,65800,493500,323600,22600,101400,1762100
Wisconsin,3191800,338400,948600,834600,39900,289700,5643000
Wyoming,293700,37300,71100,80100,12000,69200,563300
Puerto Rico,772900,283800,1548900,454000,20600,224700,3304800
